,Support_Services,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,Други,Няколко пазара,Пазар Банково застраховане,Пазар Ежедневно банкиране,Пазар Жилищни и ипотечни кредити,Пазар Малък бизнес,Пазар Потребителско кредитиране,Пазар Разсрочени плащания,Пазар Спестяване и инвестиции
Support_Services,3,0,0,0,2,0,0,2,2,0,0,0,0
ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,0,5,0,2,1,0,0,7,1,0,0,0,1
ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,0,0,2,0,1,1,0,0,2,0,1,0,0
ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,1,0,0,6,1,1,0,3,0,0,0,0,0
Други,1,4,0,1,41,0,0,9,3,1,0,1,2
Няколко пазара,0,1,2,0,2,1,0,1,5,1,1,0,0
Пазар Банково застраховане,0,0,0,0,1,0,11,0,0,0,0,0,1
Пазар Ежедневно банкиране,3,4,1,3,9,1,1,84,2,1,1,3,1
Пазар Жилищни и ипотечни кредити,0,0,1,0,5,2,0,1,45,0,0,0,0
Пазар Малък бизнес,0,0,1,0,1,0,0,5,1,11,0,0,0
Пазар Потребителско кредитиране,0,0,0,0,0,0,0,2,1,0,26,0,0
Пазар Разсрочени плащания,0,0,0,0,0,0,0,1,0,0,0,23,0
Пазар Спестяване и инвестиции,0,0,0,0,2,0,0,0,0,0,0,0,15
